user_id,question_id,question_title,question_text,answer_id,answer_score,answer_text,user_tag_score,popularity
1833612,20521452,MVC5 Store and manager classes,"I know the MVC pattern which stands for Model View Controller.
But Where do Store and Manager class files come from?
I started My project with MongoDB and i implemented the MongoDB.AspNet.Identity.
Which is an extension of the Microsoft.AspNet.Indentity with the EF.
But when looking at the AccountController that is provided by this package they are using the following code.

Now my questions: 

What is the prupose of the Manager class
What is the purpose of the Store class?
And why is the UserManager passed to the Controller of MVC?
And to what pattern belong the Manager and Store classes?

",20522864,5,"This is how I see it:

The Manager class is a concrete instance used to manage users and apply domain logic.
Typically finding users, add passwords and claim management.
The store is what the user manager uses for CRUD implementation.
The UserManager is passed to the constructor so that it can be instantiated and used within the AccountController. You can create another constructor taking it as an arguement for IOC.
I think of the Manager as being like a service layer or fat controller (i.e. contains business logic for managing Users) and the Store as being a repository that deals with CRUD.

",5,4
3075034,20522029,MVVM C# with the View on a remote Computer,"I'm designing a Client/Server App in C# where all the Model Object and calculation has to be done on the server. The server doesn't need a specific UI.
Meanwhile I'd like my clients to be able to execute different functions or services from the server and receive the result of the computation from it as well as binding or subscribing to some values and each time the server update it, it sends the update to all clients who subscribed to this value.
Nothing spectacular in this I think.
I dont have any background in Network or Server-Client apps.
My question is the following:
I'd like to bind directly properties of my ViewModel which is Server side to the View which is Client Side.
Is there a way for me to do this like if the view was in a normal local MVVM framework?
I'd like to avoid having to create a specific language between the clients and the server and having then to handle the queue and priorities of clients messages.
If not, would you have some readings to recommend ?
Many Thanks.
",20522120,2,"You don't want your views to rely on a network connection to stay responsive, even if you solve the technical challenges of what you are proposing. Networking should be done in a way that can fail gracefully. 
This is bad and you should not do it. That's my opinion.
Additionally, you really shouldn't be designing your own protocol for communication. You could use something like WCF or another framework that allows you to just call a remote function. 
",2,3
766548,20524962,How to accumulate async data?,"I want to summarize data that is produced asynchronously (in node.js). 
How would you do this in a thread safe manner?
For instance, 

the way I see it getdata callbacks will be called 100 times in parrallel... and there is hight chances accumulator wont be the sum of the 100 values since the callback is not atomic (or is it?)...
What do you think ?
",20525779,-1,"While the actual async operations may be happening concurrently (in separate threads), only one callback will be fired at a given time, due to Nodes event loop being single threaded. So it is guaranteed that  will indeed be the sum of all values.
As for your example code,  will be zero, since  is non-blocking, and thus console.log will execute before the async calls are completed. If you wish to log the final accumulated data, you can implement it like so:

",13,5
766548,30559225,How to create Abstract base class in JavaScript that can&#39;t be Instantiated,"I have a class 

and another class

How to make class Node() so it can't be instantiated?
e.g when I try 

So it throws an Exception?
",30559476,14,"This would work:






Note: you cannot refer to  inside the constructor, as the prototype is only a property of the constructor function, not of the instances.
Also, see here for a good article on how to properly extend JS classes.
",13,5
224235,20524962,How to accumulate async data?,"I want to summarize data that is produced asynchronously (in node.js). 
How would you do this in a thread safe manner?
For instance, 

the way I see it getdata callbacks will be called 100 times in parrallel... and there is hight chances accumulator wont be the sum of the 100 values since the callback is not atomic (or is it?)...
What do you think ?
",20525961,2,"You can use a function that checks whether any jobs are running, and then prints if we are done. For example:

There are a lot of control flow libraries that will help you do this, two of the more popular ones:

Batch (personal favorite)
Async

",2,3
2907532,20531110,Removing pattern and noise in an image using FFT in matlab,"I am using the clown.jpg image to be able to get rid of the obvious pattern/noise it has.   

The first step that I did before taking FFT of the image is to rescale it a square image of powers of two (i.e. 256 x 256).  Using FFT and fftshift in matlab gives the fast fourier transform with the intensities centered in the image.  The following image is the result of using the previous functions mentioned.

I was successful to remove the pattern/noise by zeroing the ""stars"" manually on the FFT image as shown below:

Taking the IFFT I get a much better quality of picture (not shown).
The question that I have is if there is an automated way of zeroing the ""stars""?  I have created an interval of where to zero the images since we don't want to remove the brightest ""star"", the DC component, nor the low values.  Such a threshold is given below:

The output mask (which I will multiply to the Fourier Image) is found below.  Black corresponds to the value of 0 and white corresponds to 1.  Notice that the filtering of this mask removes some ""stars"" and keeps some of the DC component.  Obviously this method is not the best.

I was reading about doing a high pass filter, but that seems to remove all the outer values in the Fourier image.  This is based on my previous testing (I didn't include those images). 
Is there something that you recommend to highlight the high intensity values except the DC component. Ideally I would like to get the mask to look like:

source: http://users.accesscomm.ca/bostrum/Imaging/tips/tip1.html
In another site, it was mentioned to use ""highpass and level correct the FFT data to retain only the stray dots that represent the raster pattern.""  I am unclear on how to do that exactly.  
source: http://www.robotplanet.dk/graphics/raster_removal/
Your help will be greatly appreciated.
Here is my source code to help:

",20534031,3,"I tried to detect the local maximum magnitude in the frequency domain, and zero them along with their neighborhoods. It is not exactly clean, but at least realize some automatic-zero to some extent. 
 
My code:

",3,3
2299443,20531110,Removing pattern and noise in an image using FFT in matlab,"I am using the clown.jpg image to be able to get rid of the obvious pattern/noise it has.   

The first step that I did before taking FFT of the image is to rescale it a square image of powers of two (i.e. 256 x 256).  Using FFT and fftshift in matlab gives the fast fourier transform with the intensities centered in the image.  The following image is the result of using the previous functions mentioned.

I was successful to remove the pattern/noise by zeroing the ""stars"" manually on the FFT image as shown below:

Taking the IFFT I get a much better quality of picture (not shown).
The question that I have is if there is an automated way of zeroing the ""stars""?  I have created an interval of where to zero the images since we don't want to remove the brightest ""star"", the DC component, nor the low values.  Such a threshold is given below:

The output mask (which I will multiply to the Fourier Image) is found below.  Black corresponds to the value of 0 and white corresponds to 1.  Notice that the filtering of this mask removes some ""stars"" and keeps some of the DC component.  Obviously this method is not the best.

I was reading about doing a high pass filter, but that seems to remove all the outer values in the Fourier image.  This is based on my previous testing (I didn't include those images). 
Is there something that you recommend to highlight the high intensity values except the DC component. Ideally I would like to get the mask to look like:

source: http://users.accesscomm.ca/bostrum/Imaging/tips/tip1.html
In another site, it was mentioned to use ""highpass and level correct the FFT data to retain only the stray dots that represent the raster pattern.""  I am unclear on how to do that exactly.  
source: http://www.robotplanet.dk/graphics/raster_removal/
Your help will be greatly appreciated.
Here is my source code to help:

",41580073,0,"i have recently written my notch filter for my homework,i struggled for finding an example code,here is my code i hope it will helps.thanks for all.
it is an ideal notch reject filter for removing periodic noises.

",0,1
3052523,20532532,Strategy pattern method that takes other interface,"I am looking to utilize the strategy pattern for a .net application.  I am simplifying the code, but the idea is the same.  There is a transport interface, which will have 2 concrete classes, Car & Motorcycle, both with the only requirement being to implement the driveable method.  To implement it, I want to use the strategy pattern and the IDriveableStrategy interface, which will take a class that implements ITransport and use information in that class to determine if the ITransport is driveable.  I saw some posts questioning the practice of sending the context to the strategy, but I want to ignore that debate for now.  If I implement a class called MotorcycleDriveableStrategy,  I want to use that as a strategy for the Motorcycle class.  
In the code below, you'll notice that I have two additional properties specific to the Motorcycle class, that I would like to use to evaluate whether or not the ITransport is driveable.  In the MotorcycleDriveableStrategy I have commented out how I'd ideally like to implement the class, (have isDriveable implement the interface by taking a Motorcycle, because Motorcycle does implement ITransport) but I get a compilation error when I try that, so I have to keep the method expecting the ITransport interface.
I could achieve the coupling that I wanted by making the IDriveableStrategy interface take a generic that implements ITransport

and declare

but I want to know if I'm missing the bigger picture.  How would this be achieved before generics?  Should the strategy pattern always evaluate the context based off of the exposed interface implementations?  Should the strategy interface not take an interface as a parameter?  Is there another way to achieve this without adding numWheels to the ITransport interface or making the IDriveableStrategy generic?  Thank you in advance for any advice or insight.

",20545390,1,"Let me start by saying I have no problem with send the context to the strategy, IMO the point of the individual strategy is to abstract away the details so you can plug in another at whim. The  interface methods allow user classes to execute the same command for all strategies, but I would not restrict the strategy itself to the interface methods. The individual strategy should have intimate knowledge of the context.
Please let me know if I completely missed ur point, also I'd be very interested if someone has a differing opinion btw.
In your example the MotorcycleDriveableStrategy is the only place we should be making decisions about the driveability of the motorcycle. Hence:

And if you are interested in the whole thing:

",1,2
2970947,20538970,Show that a parameter of a method serves as return value,"Is there a way to show that a parameter of a method serves as return value?
If I want to return one value it is no problem:

It's easy to see that the method returns a set.
But if I want a method to return two values I need a workaround:

These two pieces of code are just examples to illustrate my question and they have no practical use. 
However, I want to make it obvious to the user that this set () was manipulated as well. It is common practice to put a ""final"" in front of parameters that are not manipulated within a method, but this is not done consequently, not even in Java standard classes. 
So, how do I show that  is manipulated within the method, without just mentioning it in the java doc comments. Are there any conventions?
",20539063,0,"Firstly, you could do this - 

Then you could check the set size before (and after) to see how many integer(s) you added to your set.
To make your set immutable you can use . See documentation. But then you can't add anything to the Set. I think you'd want to document when you changed a Set in that way.
",214,8
2970947,27131405,type-casting can be an example of adapter design pattern?,"Adapter design pattern resolved the incompatibility between two incompatible interface or objects.
If native type casting is performed:

Does the adapter design pattern apply here?
",27131703,1,"No. Since an adapter pattern requires Object instances, and type-casting primitives uses no Object(s) at all, it isn't an Adapter pattern. Even if you cast between Object instances (which you could only do if they were in the same type-hierarchy), it would not be an adapter pattern. From the Wikipedia article (emphasis added), the adapter pattern is a software design pattern that allows the interface of an existing class to be used from another interface.
",214,8
